,Unnamed: 0,compoundName,symmetryGroupNumber,symmetryGroupNameHTML,topologicalClassificationShortDescription,topologicalSubClassificationShortDescription,smCrossingType,topologicalIndices,similarICSD,band_g
6349,6349,Si2Th3,127,<i>P</i>4/<i>mbm</i>,TI,NLC,None,"[{'id': 1, 'name': 'z2', 'htmlName': 'Z<sub>2</sub>', 'nbrValues': 2, 'value': 1}, {'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 3}, {'id': 13, 'name': 'z8', 'htmlName': 'Z<sub>8</sub>', 'nbrValues': 8, 'value': 3}]",[26571],
6350,6350,Si2Th3,127,<i>P</i>4/<i>mbm</i>,SM,ES,Line,[],"[652398, 652409]",
6351,6351,Si2Ti,63,<i>Cmcm</i>,TI,SEBR,None,"[{'id': 8, 'name': 'z2w,1', 'htmlName': 'Z<sub>2w,1</sub>', 'nbrValues': 2, 'value': 1}, {'id': 9, 'name': 'z2w,2', 'htmlName': 'Z<sub>2w,2</sub>', 'nbrValues': 2, 'value': 1}]",[652419],
6352,6352,Si2Ti,70,<i>Fddd</i>,TI,SEBR,None,"[{'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 3}]","[1089, 30217, 96029, 652412, 652421]",
6353,6353,Si2Tm,191,<i>P</i>6/<i>mmm</i>,SM,ESFD,Point,[],"[20251, 52468, 604540, 652451, 652455]",
6354,6354,Si2Yb,141,<i>I</i>4<sub>1</sub>/<i>amd</i>,TI,SEBR,None,"[{'id': 1, 'name': 'z2', 'htmlName': 'Z<sub>2</sub>', 'nbrValues': 2, 'value': 1}, {'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 3}]",[423244],
6355,6355,Si2Yb,191,<i>P</i>6/<i>mmm</i>,SM,ES,Line,[],"[20252, 652598, 652601, 652603]",
6356,6356,Si2Zr,63,<i>Cmcm</i>,TI,NLC,None,"[{'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 1}, {'id': 8, 'name': 'z2w,1', 'htmlName': 'Z<sub>2w,1</sub>', 'nbrValues': 2, 'value': 1}, {'id': 9, 'name': 'z2w,2', 'htmlName': 'Z<sub>2w,2</sub>', 'nbrValues': 2, 'value': 1}]","[16772, 44871, 95179, 652606, 652610]",
6357,6357,Si3Sr5,108,<i>I</i>4<i>cm</i>,trivial,LCEBR,None,[],[15639],
6358,6358,Si3Sr5,140,<i>I</i>4/<i>mcm</i>,trivial,LCEBR,None,[],"[93701, 409376]",
6359,6359,Si3Ta5,140,<i>I</i>4/<i>mcm</i>,SM,ESFD,Point,[],"[16775, 108742, 189722, 195541, 652303, 652304, 652315]",
6360,6360,Si3Ta5,193,<i>P</i>6<sub>3</sub>/<i>mcm</i>,SM,ESFD,Point,[],"[76159, 652324, 652335]",
6361,6361,Si3Tb2,63,<i>Cmcm</i>,TI,NLC,None,"[{'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 1}]",[73619],
6362,6362,Si3Tb5,193,<i>P</i>6<sub>3</sub>/<i>mcm</i>,SM,ESFD,Point,[],[104190],
6363,6363,Si3Tc5,140,<i>I</i>4/<i>mcm</i>,SM,ESFD,Point,[],[652383],
6364,6364,Si3Ti5,193,<i>P</i>6<sub>3</sub>/<i>mcm</i>,TI,SEBR,None,"[{'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 1}, {'id': 7, 'name': 'z6m0', 'htmlName': 'Z<sub>6m0</sub>', 'nbrValues': 6, 'value': 1}, {'id': 11, 'name': 'z12prime', 'htmlName': ""Z<sub>12</sub>'"", 'nbrValues': 12, 'value': 1}]","[62591, 652424]",
6365,6365,Si3Ti5,193,<i>P</i>6<sub>3</sub>/<i>mcm</i>,SM,ES,Line,[],[652420],
6366,6366,Si3Yb,139,<i>I</i>4/<i>mmm</i>,SM,ES,Line,[],[710066],
6367,6367,Si3Zr5,193,<i>P</i>6<sub>3</sub>/<i>mcm</i>,SM,ES,Line,[],"[652605, 652612, 652616, 652621, 656924]",
6368,6368,Si5Yb3,189,<i>P</i>-62<i>m</i>,TI,SEBR,None,"[{'id': 10, 'name': 'z3m0', 'htmlName': 'Z<sub>3m0</sub>', 'nbrValues': 3, 'value': 1}]","[51718, 90799, 408117, 415599]",
6369,6369,Si6Sr,63,<i>Cmcm</i>,TI,SEBR,None,"[{'id': 8, 'name': 'z2w,1', 'htmlName': 'Z<sub>2w,1</sub>', 'nbrValues': 2, 'value': 1}, {'id': 9, 'name': 'z2w,2', 'htmlName': 'Z<sub>2w,2</sub>', 'nbrValues': 2, 'value': 1}]","[240779, 416971]",
