compoundName,symmetryGroupNumber,symmetryGroupNameHTML,topologicalClassificationShortDescription,topologicalSubClassificationShortDescription,smCrossingType,topologicalIndices,similarICSD
Ag1 In1,221,<i>Pm</i>-3<i>m</i>,TI,SEBR,None,"[{'id': 2, 'name': 'z2w,3', 'htmlName': 'Z<sub>2w,3</sub>', 'nbrValues': 2, 'value': 1}, {'id': 5, 'name': 'z4mpi', 'htmlName': 'Z<sub>4&pi;</sub>', 'nbrValues': 4, 'value': 1}, {'id': 8, 'name': 'z2w,1', 'htmlName': 'Z<sub>2w,1</sub>', 'nbrValues': 2, 'value': 1}, {'id': 9, 'name': 'z2w,2', 'htmlName': 'Z<sub>2w,2</sub>', 'nbrValues': 2, 'value': 1}, {'id': 13, 'name': 'z8', 'htmlName': 'Z<sub>8</sub>', 'nbrValues': 8, 'value': 4}]",[605384]
Ag1 In2,140,<i>I</i>4/<i>mcm</i>,SM,ESFD,Point,[],[58282]
Ag1 La1,123,<i>P</i>4/<i>mmm</i>,SM,ES,Line,[],[58306]
Ag1 La1,221,<i>Pm</i>-3<i>m</i>,SM,ESFD,Point,[],"[58288, 58305, 150963]"
Ag1 Li1,141,<i>I</i>4<sub>1</sub>/<i>amd</i>,TI,SEBR,None,"[{'id': 1, 'name': 'z2', 'htmlName': 'Z<sub>2</sub>', 'nbrValues': 2, 'value': 1}, {'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 3}]","[247145, 247146]"
Ag1 Li1,221,<i>Pm</i>-3<i>m</i>,TI,SEBR,None,"[{'id': 2, 'name': 'z2w,3', 'htmlName': 'Z<sub>2w,3</sub>', 'nbrValues': 2, 'value': 1}, {'id': 5, 'name': 'z4mpi', 'htmlName': 'Z<sub>4&pi;</sub>', 'nbrValues': 4, 'value': 3}, {'id': 8, 'name': 'z2w,1', 'htmlName': 'Z<sub>2w,1</sub>', 'nbrValues': 2, 'value': 1}, {'id': 9, 'name': 'z2w,2', 'htmlName': 'Z<sub>2w,2</sub>', 'nbrValues': 2, 'value': 1}]","[58310, 605515]"
Ag1 Mg1,221,<i>Pm</i>-3<i>m</i>,SM,ESFD,Point,[],"[58322, 150831, 151379, 605539, 605540, 605541, 605549, 605551]"
Ag1 Nd1,221,<i>Pm</i>-3<i>m</i>,SM,ESFD,Point,[],"[58338, 605596, 605598, 605599]"
Ag1 P15,2,<i>P</i>-1,trivial,LCEBR,None,[],[239083]
Ag1 Pr1,221,<i>Pm</i>-3<i>m</i>,TI,SEBR,None,"[{'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 2}, {'id': 13, 'name': 'z8', 'htmlName': 'Z<sub>8</sub>', 'nbrValues': 8, 'value': 6}]",[605674]
