compoundName,symmetryGroupNumber,symmetryGroupNameHTML,topologicalClassificationShortDescription,topologicalSubClassificationShortDescription,smCrossingType,topologicalIndices,similarICSD
H2 Li2 Pd1,139,<i>I</i>4/<i>mmm</i>,TI,SEBR,None,"[{'id': 2, 'name': 'z2w,3', 'htmlName': 'Z<sub>2w,3</sub>', 'nbrValues': 2, 'value': 1}, {'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 2}, {'id': 8, 'name': 'z2w,1', 'htmlName': 'Z<sub>2w,1</sub>', 'nbrValues': 2, 'value': 1}, {'id': 9, 'name': 'z2w,2', 'htmlName': 'Z<sub>2w,2</sub>', 'nbrValues': 2, 'value': 1}, {'id': 13, 'name': 'z8', 'htmlName': 'Z<sub>8</sub>', 'nbrValues': 8, 'value': 6}]",[108534]
H2 Na2 Pd1,139,<i>I</i>4/<i>mmm</i>,trivial,LCEBR,None,[],[68071]
H2 O13 Ti6,12,<i>C</i>2/<i>m</i>,trivial,LCEBR,None,[],"[186994, 290959]"
H2 Pd1 Zr2,139,<i>I</i>4/<i>mmm</i>,TI,SEBR,None,"[{'id': 2, 'name': 'z2w,3', 'htmlName': 'Z<sub>2w,3</sub>', 'nbrValues': 2, 'value': 1}, {'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 2}, {'id': 8, 'name': 'z2w,1', 'htmlName': 'Z<sub>2w,1</sub>', 'nbrValues': 2, 'value': 1}, {'id': 9, 'name': 'z2w,2', 'htmlName': 'Z<sub>2w,2</sub>', 'nbrValues': 2, 'value': 1}, {'id': 13, 'name': 'z8', 'htmlName': 'Z<sub>8</sub>', 'nbrValues': 8, 'value': 2}]",[638425]
H20 B12 N2,202,<i>Fm</i>-3,trivial,LCEBR,None,[],[98618]
H3 Al1 Sr1,221,<i>Pm</i>-3<i>m</i>,SM,ES,Line,[],[291483]
H3 Au1 Ti3,223,<i>Pm</i>-3<i>n</i>,SM,ESFD,Point,[],[611953]
H3 Ba1 Li1,221,<i>Pm</i>-3<i>m</i>,trivial,LCEBR,None,[],"[23977, 416463]"
H3 Ba2 Br1,164,<i>P</i>-3<i>m</i>1,trivial,LCEBR,None,[],[415127]
H3 Ba2 Cl1,164,<i>P</i>-3<i>m</i>1,trivial,LCEBR,None,[],[416893]
H3 Br1 Ca2,164,<i>P</i>-3<i>m</i>1,trivial,LCEBR,None,[],[420928]
H3 Br1 Eu2,164,<i>P</i>-3<i>m</i>1,trivial,LCEBR,None,[],[427632]
H3 Ca1 Cs1,62,<i>Pnma</i>,trivial,LCEBR,None,[],"[619212, 619213]"
H3 Ca1 Rb1,221,<i>Pm</i>-3<i>m</i>,trivial,LCEBR,None,[],[65195]
H3 Cl1 Eu2,164,<i>P</i>-3<i>m</i>1,trivial,LCEBR,None,[],[427476]
H3 Cl1 Ge1,36,<i>Cmc</i>2<sub>1</sub>,trivial,LCEBR,None,[],[62109]
H3 Co17 Y2,166,<i>R</i>-3<i>m</i>,SM,ES,Line,[],[656645]
H3 Eu1 Li1,221,<i>Pm</i>-3<i>m</i>,SM,ESFD,Point,[],"[53429, 416461]"
H3 Li1 Sr1,221,<i>Pm</i>-3<i>m</i>,trivial,LCEBR,None,[],[23978]
H3 Mg1 Na1,62,<i>Pnma</i>,trivial,LCEBR,None,[],"[91795, 158280, 184379]"
H3 Ni1 Yb1,221,<i>Pm</i>-3<i>m</i>,SM,ESFD,Point,[],[638405]
H3 Ni1 Zr1,63,<i>Cmcm</i>,SM,ESFD,Point,[],"[43277, 638406, 658750]"
H3 Pd1 Yb1,221,<i>Pm</i>-3<i>m</i>,SM,ESFD,Point,[],[638422]
H3 Pd1 Zr2,139,<i>I</i>4/<i>mmm</i>,SM,ESFD,Point,[],[601955]
H4 Al1 Li1,14,<i>P</i>2<sub>1</sub>/<i>c</i>,trivial,LCEBR,None,[],[22247]
H4 Al1 Na1,88,<i>I</i>4<sub>1</sub>/<i>a</i>,trivial,LCEBR,None,[],"[8022, 20923, 154907, 154908, 655434]"
H4 Al1 Th2,140,<i>I</i>4/<i>mcm</i>,SM,ESFD,Point,[],[43313]
H4 Ca1 Rb2,139,<i>I</i>4/<i>mmm</i>,trivial,LCEBR,None,[],[65196]
H4 Ga1 Mg1,14,<i>P</i>2<sub>1</sub>/<i>c</i>,TI,NLC,None,"[{'id': 8, 'name': 'z2w,1', 'htmlName': 'Z<sub>2w,1</sub>', 'nbrValues': 2, 'value': 1}]",[240696]
H4 Ga1 Na1,63,<i>Cmcm</i>,trivial,LCEBR,None,[],"[39355, 67309, 67310]"
H4 Li4 Rh1,87,<i>I</i>4/<i>m</i>,SM,ESFD,Point,[],[26226]
H4 Na2 Pt1,139,<i>I</i>4/<i>mmm</i>,trivial,LCEBR,None,[],[638356]
H5 As3 O10,2,<i>P</i>-1,trivial,LCEBR,None,[],[14327]
H5 Ba1 Ga1,4,<i>P</i>2<sub>1</sub>,trivial,LCEBR,None,[],[240693]
H5 Li4 Rh1,63,<i>Cmcm</i>,TI,SEBR,None,"[{'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 2}, {'id': 8, 'name': 'z2w,1', 'htmlName': 'Z<sub>2w,1</sub>', 'nbrValues': 2, 'value': 1}, {'id': 9, 'name': 'z2w,2', 'htmlName': 'Z<sub>2w,2</sub>', 'nbrValues': 2, 'value': 1}]",[26225]
H6 Al1 Ce1,166,<i>R</i>-3<i>m</i>,SM,ESFD,Point,[],"[247039, 247040]"
H6 Al1 La1,166,<i>R</i>-3<i>m</i>,trivial,LCEBR,None,[],[247037]
H6 Al1 Na3,14,<i>P</i>2<sub>1</sub>/<i>c</i>,trivial,LCEBR,None,[],[154909]
H6 Al1 Nd1,166,<i>R</i>-3<i>m</i>,SM,ESFD,Point,[],[247043]
H6 Al1 Pr1,166,<i>R</i>-3<i>m</i>,trivial,LCEBR,None,[],"[247041, 247042]"
H6 Ca2 Ru1,225,<i>Fm</i>-3<i>m</i>,trivial,LCEBR,None,[],[656082]
H6 Eu2 Fe1,225,<i>Fm</i>-3<i>m</i>,trivial,LCEBR,None,[],[631243]
H6 Eu2 Ru1,225,<i>Fm</i>-3<i>m</i>,trivial,LCEBR,None,[],"[53430, 656083]"
H6 Fe1 Mg2,225,<i>Fm</i>-3<i>m</i>,trivial,LCEBR,None,[],"[107500, 238723]"
H6 Fe1 Sr2,225,<i>Fm</i>-3<i>m</i>,trivial,LCEBR,None,[],[632211]
H6 Li2 Pt1,225,<i>Fm</i>-3<i>m</i>,trivial,LCEBR,None,[],[247465]
H6 Li4 Os1,167,<i>R</i>-3<i>c</i>,trivial,LCEBR,None,[],[638269]
H6 Li4 Ru1,167,<i>R</i>-3<i>c</i>,trivial,LCEBR,None,[],[638272]
H6 Na4 Ru1,167,<i>R</i>-3<i>c</i>,trivial,LCEBR,None,[],[638362]
H6 Os1 Sr2,225,<i>Fm</i>-3<i>m</i>,trivial,LCEBR,None,[],[638409]
H7 La1 Ni5,159,<i>P</i>31<i>c</i>,trivial,LCEBR,None,[],[236999]
H7 La1 Ni5,186,<i>P</i>6<sub>3</sub><i>mc</i>,trivial,LCEBR,None,[],[236997]
H7 Th1 Zr2,227,<i>Fd</i>-3<i>m</i>,SM,ESFD,Point,[],[56180]
H8 Al2 Mg1,164,<i>P</i>-3<i>m</i>1,trivial,LCEBR,None,[],"[152537, 152538, 152539, 165170]"
H8 Cl4 Si5,82,<i>I</i>-4,trivial,LCEBR,None,[],[262931]
H8 N10 Zn1,2,<i>P</i>-1,trivial,LCEBR,None,[],[421952]
H9 Ba1 Re1,194,<i>P</i>6<sub>3</sub>/<i>mmc</i>,trivial,LCEBR,None,[],[75460]
Hf1 Ho2 S5,62,<i>Pnma</i>,TI,NLC,None,"[{'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 2}]","[638566, 638567]"
Hf1 La2 S5,62,<i>Pnma</i>,trivial,LCEBR,None,[],"[638587, 638588]"
Hf1 Mo1 P1,189,<i>P</i>-62<i>m</i>,SM,ESFD,Point,[],[88151]
Hf1 Mo2 O8,15,<i>C</i>2/<i>c</i>,trivial,LCEBR,None,[],[98065]
Hf1 N2 Sr1,166,<i>R</i>-3<i>m</i>,trivial,LCEBR,None,[],[82538]
Hf1 Nb1 P1,62,<i>Pnma</i>,TI,NLC,None,"[{'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 3}]",[75009]
Hf1 Nd2 S5,62,<i>Pnma</i>,trivial,LCEBR,None,[],[638683]
Hf1 Ni1 P1,62,<i>Pnma</i>,SM,ES,Plane,[],[638712]
Hf1 Ni4 P2,136,<i>P</i>4<sub>2</sub>/<i>mnm</i>,SM,ES,Line,[],[638711]
Hf1 O3 Pb1,221,<i>Pm</i>-3<i>m</i>,trivial,LCEBR,None,[],[161702]
Hf1 O3 Sr1,140,<i>I</i>4/<i>mcm</i>,trivial,LCEBR,None,[],[89385]
Hf1 O3 Sr1,221,<i>Pm</i>-3<i>m</i>,trivial,LCEBR,None,[],"[29154, 89386]"
Hf1 O3 Sr1,62,<i>Pnma</i>,trivial,LCEBR,None,[],"[84280, 89383]"
Hf1 O3 Sr1,63,<i>Cmcm</i>,trivial,LCEBR,None,[],[89384]
Hf1 O4 Si1,141,<i>I</i>4<sub>1</sub>/<i>amd</i>,trivial,LCEBR,None,[],"[31177, 59111]"
Hf1 Os1 P1,189,<i>P</i>-62<i>m</i>,SM,ESFD,Point,[],[638751]
Hf1 Pb1 S3,62,<i>Pnma</i>,trivial,LCEBR,None,[],[65668]
Hf1 Pr2 S5,62,<i>Pnma</i>,trivial,LCEBR,None,[],"[638779, 638780]"
Hf1 S1 Si1,129,<i>P</i>4/<i>nmm</i>,TI,SEBR,None,"[{'id': 2, 'name': 'z2w,3', 'htmlName': 'Z<sub>2w,3</sub>', 'nbrValues': 2, 'value': 1}, {'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 2}]",[25735]
Hf1 S3 Sn1,62,<i>Pnma</i>,trivial,LCEBR,None,[],[65667]
Hf1 S3 Sr1,62,<i>Pnma</i>,trivial,LCEBR,None,[],[638863]
Hf1 Si1 V1,129,<i>P</i>4/<i>nmm</i>,SM,ESFD,Point,[],[638931]
Hf1 Si1 W1,62,<i>Pnma</i>,trivial,LCEBR,None,[],[638934]
Hf2 La2 O7,227,<i>Fd</i>-3<i>m</i>,TI,SEBR,None,"[{'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 2}]",[173790]
Hf2 Ni1 P1,11,<i>P</i>2<sub>1</sub>/<i>m</i>,SM,ESFD,Point,[],"[84828, 405616]"
Hf2 Ni3 P3,62,<i>Pnma</i>,SM,ES,Plane,[],[638710]
Hf2 P1 Sb1,194,<i>P</i>6<sub>3</sub>/<i>mmc</i>,SM,ES,Line,[],[638764]
Hf4 Ni1 P1,124,<i>P</i>4/<i>mcc</i>,SM,ESFD,Point,[],[638708]
Hf5 K4 O12,164,<i>P</i>-3<i>m</i>1,trivial,LCEBR,None,[],[180186]
Hf5 P7 Pd9,38,<i>Amm</i>2,SM,ESFD,Point,[],[92439]
Hf9 Mo4 P1,194,<i>P</i>6<sub>3</sub>/<i>mmc</i>,SM,ESFD,Point,[],[638625]
Hf9 Mo4 S1,194,<i>P</i>6<sub>3</sub>/<i>mmc</i>,SM,ES,Line,[],[638628]
Hf9 P1 Re4,194,<i>P</i>6<sub>3</sub>/<i>mmc</i>,SM,ESFD,Point,[],[638761]
Hf9 Re4 S1,194,<i>P</i>6<sub>3</sub>/<i>mmc</i>,TI,SEBR,None,"[{'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 2}, {'id': 7, 'name': 'z6m0', 'htmlName': 'Z<sub>6m0</sub>', 'nbrValues': 6, 'value': 2}, {'id': 11, 'name': 'z12prime', 'htmlName': ""Z<sub>12</sub>'"", 'nbrValues': 12, 'value': 2}]",[638811]
Hf9 Se1 W4,194,<i>P</i>6<sub>3</sub>/<i>mmc</i>,SM,ES,Line,[],[638906]
Hg1 I6 Tl4,104,<i>P</i>4<i>nc</i>,trivial,LCEBR,None,[],"[250133, 257002]"
Hg1 I6 Tl4,128,<i>P</i>4/<i>mnc</i>,trivial,LCEBR,None,[],[14018]
Hg1 In2 S4,227,<i>Fd</i>-3<i>m</i>,trivial,LCEBR,None,[],[56081]
Hg1 K1 Sb1,194,<i>P</i>6<sub>3</sub>/<i>mmc</i>,TI,SEBR,None,"[{'id': 7, 'name': 'z6m0', 'htmlName': 'Z<sub>6m0</sub>', 'nbrValues': 6, 'value': 2}, {'id': 11, 'name': 'z12prime', 'htmlName': ""Z<sub>12</sub>'"", 'nbrValues': 12, 'value': 8}]",[56201]
Hg1 Mo1 O4,15,<i>C</i>2/<i>c</i>,trivial,LCEBR,None,[],[2533]
Hg1 Mo6 S8,148,<i>R</i>-3,SM,ES,Line,[],[639106]
Hg1 Na2 O2,139,<i>I</i>4/<i>mmm</i>,trivial,LCEBR,None,[],"[25511, 27409]"
Hg1 Na4 P2,166,<i>R</i>-3<i>m</i>,trivial,LCEBR,None,[],[67260]
Hg1 O2 Rb2,139,<i>I</i>4/<i>mmm</i>,trivial,LCEBR,None,[],"[25514, 66276]"
Hg1 O2 Sr1,166,<i>R</i>-3<i>m</i>,trivial,LCEBR,None,[],[165068]
Hg1 O3 Se1,14,<i>P</i>2<sub>1</sub>/<i>c</i>,trivial,LCEBR,None,[],"[412547, 412548]"
Hg1 O3 Se1,62,<i>Pnma</i>,trivial,LCEBR,None,[],[79694]
Hg1 O3 Sn1,167,<i>R</i>-3<i>c</i>,trivial,LCEBR,None,[],[260029]
Hg1 O3 Te1,2,<i>P</i>-1,trivial,LCEBR,None,[],[61673]
Hg1 O4 Re1,14,<i>P</i>2<sub>1</sub>/<i>c</i>,trivial,LCEBR,None,[],[74885]
Hg1 O4 Se1,31,<i>Pmn</i>2<sub>1</sub>,trivial,LCEBR,None,[],[412403]
Hg1 P1 Pd5,123,<i>P</i>4/<i>mmm</i>,SM,ESFD,Point,[],[639128]
Hg1 P1 Pt5,123,<i>P</i>4/<i>mmm</i>,SM,ESFD,Point,[],[639129]
Hg2 Mo1 O4,14,<i>P</i>2<sub>1</sub>/<i>c</i>,trivial,LCEBR,None,[],[90083]
Hg2 Mo1 O4,15,<i>C</i>2/<i>c</i>,trivial,LCEBR,None,[],[90084]
Hg2 Mo2 O7,13,<i>P</i>2/<i>c</i>,trivial,LCEBR,None,[],[51511]
Hg2 Mo2 O7,2,<i>P</i>-1,trivial,LCEBR,None,[],[83374]
Hg2 Nb2 O7,227,<i>Fd</i>-3<i>m</i>,trivial,LCEBR,None,[],[22226]
Hg2 O3 Se1,14,<i>P</i>2<sub>1</sub>/<i>c</i>,trivial,LCEBR,None,[],[412302]
Hg2 O3 Se1,36,<i>Cmc</i>2<sub>1</sub>,trivial,LCEBR,None,[],[412303]
Hg2 O3 Se1,72,<i>Ibam</i>,trivial,LCEBR,None,[],[412304]
Hg2 O4 Se1,13,<i>P</i>2/<i>c</i>,trivial,LCEBR,None,[],[15006]
Hg2 O5 Re1,2,<i>P</i>-1,trivial,LCEBR,None,[],[74886]
Hg2 O5 Te1,33,<i>Pna</i>2<sub>1</sub>,trivial,LCEBR,None,[],"[98671, 391134]"
Hg2 O7 Os2,227,<i>Fd</i>-3<i>m</i>,TI,SEBR,None,"[{'id': 1, 'name': 'z2', 'htmlName': 'Z<sub>2</sub>', 'nbrValues': 2, 'value': 1}, {'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 1}]","[159794, 159795, 159796, 159797, 159798, 159799, 159800, 159801, 159802, 159803, 159804, 159805, 159806, 159807, 159808, 159809]"
Hg2 O7 Ru2,227,<i>Fd</i>-3<i>m</i>,TI,SEBR,None,"[{'id': 1, 'name': 'z2', 'htmlName': 'Z<sub>2</sub>', 'nbrValues': 2, 'value': 1}, {'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 1}]",[420818]
Hg2 O7 Sb2,227,<i>Fd</i>-3<i>m</i>,trivial,LCEBR,None,[],[160088]
Hg2 P2 Se6,15,<i>C</i>2/<i>c</i>,trivial,LCEBR,None,[],[2565]
Hg3 I2 Se2,12,<i>C</i>2/<i>m</i>,trivial,LCEBR,None,[],[99093]
Hg4 S6 Si1,9,<i>Cc</i>,trivial,LCEBR,None,[],"[95227, 639177]"
Hg6 O7 Si2,12,<i>C</i>2/<i>m</i>,trivial,LCEBR,None,[],[69123]
Ho1 Li1 S2,166,<i>R</i>-3<i>m</i>,SM,ES,Line,[],"[44959, 639371]"
Ho1 Mn1 O3,185,<i>P</i>6<sub>3</sub><i>cm</i>,SM,ES,Line,[],[184887]
Ho1 Mn2 O5,55,<i>Pbam</i>,TI,NLC,None,"[{'id': 2, 'name': 'z2w,3', 'htmlName': 'Z<sub>2w,3</sub>', 'nbrValues': 2, 'value': 1}, {'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 3}]","[169737, 169738]"
Ho1 Mo6 S8,148,<i>R</i>-3,SM,ESFD,Point,[],"[603464, 603888, 639427, 639429]"
Ho1 Na1 O2,166,<i>R</i>-3<i>m</i>,SM,ES,Line,[],[291908]
Ho1 Na1 S2,166,<i>R</i>-3<i>m</i>,trivial,LCEBR,None,[],"[56229, 73480, 639440]"
Ho1 Ni1 O3,62,<i>Pnma</i>,SM,ES,Plane,[],[24876]
Ho1 Ni2 P2,139,<i>I</i>4/<i>mmm</i>,SM,ESFD,Point,[],"[88185, 88186, 639493]"
Ho1 Ni4 P2,136,<i>P</i>4<sub>2</sub>/<i>mnm</i>,SM,ESFD,Point,[],[601113]
Ho1 O2 Rb1,166,<i>R</i>-3<i>m</i>,trivial,LCEBR,None,[],[15160]
Ho1 O3 Sc1,62,<i>Pnma</i>,TI,NLC,None,"[{'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 3}]",[99546]
Ho1 O4 Ta1,13,<i>P</i>2/<i>c</i>,TI,NLC,None,"[{'id': 8, 'name': 'z2w,1', 'htmlName': 'Z<sub>2w,1</sub>', 'nbrValues': 2, 'value': 1}]",[155660]
Ho1 O4 Ta1,15,<i>C</i>2/<i>c</i>,TI,NLC,None,"[{'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 3}]","[79499, 153363]"
Ho1 P2 Pd2,139,<i>I</i>4/<i>mmm</i>,SM,ESFD,Point,[],[30847]
Ho1 P2 Ru2,139,<i>I</i>4/<i>mmm</i>,SM,ESFD,Point,[],[602102]
Ho1 Pd3 S4,223,<i>Pm</i>-3<i>n</i>,SM,ESFD,Point,[],[639568]
Ho1 Rb1 S2,166,<i>R</i>-3<i>m</i>,trivial,LCEBR,None,[],[81403]
Ho1 S2 Tl1,166,<i>R</i>-3<i>m</i>,SM,ES,Line,[],[639673]
Ho2 O2 Sb1,139,<i>I</i>4/<i>mmm</i>,SM,ESFD,Point,[],[237863]
Ho2 O2 Se1,164,<i>P</i>-3<i>m</i>1,TI,SEBR,None,"[{'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 2}]",[25809]
Ho2 O7 Ti2,227,<i>Fd</i>-3<i>m</i>,SM,ESFD,Point,[],"[191616, 252236]"
Ho3 O7 Re1,20,<i>C</i>222<sub>1</sub>,trivial,LCEBR,None,[],[245106]
I1 In1 Te1,14,<i>P</i>2<sub>1</sub>/<i>c</i>,trivial,LCEBR,None,[],[100703]
I1 La5 Pb3,193,<i>P</i>6<sub>3</sub>/<i>mcm</i>,SM,ES,Line,[],[409778]
I1 Nb1 Se1,216,<i>F</i>-43<i>m</i>,SM,ESFD,Point,[],[201283]
I1 Ni2 Pr2,194,<i>P</i>6<sub>3</sub>/<i>mmc</i>,SM,ESFD,Point,[],[84702]
I1 Pd1 Te1,131,<i>P</i>4<sub>2</sub>/<i>mmc</i>,TI,NLC,None,"[{'id': 1, 'name': 'z2', 'htmlName': 'Z<sub>2</sub>', 'nbrValues': 2, 'value': 1}, {'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 3}, {'id': 8, 'name': 'z2w,1', 'htmlName': 'Z<sub>2w,1</sub>', 'nbrValues': 2, 'value': 1}, {'id': 9, 'name': 'z2w,2', 'htmlName': 'Z<sub>2w,2</sub>', 'nbrValues': 2, 'value': 1}]",[50987]
I1 Sb1 Se1,62,<i>Pnma</i>,trivial,LCEBR,None,[],"[31292, 35470]"
I1 Sb1 Te1,12,<i>C</i>2/<i>m</i>,trivial,LCEBR,None,[],[31355]
I1 Sb1 Te1,2,<i>P</i>-1,trivial,LCEBR,None,[],[35471]
I1 Se2 Tl5,140,<i>I</i>4/<i>mcm</i>,trivial,LCEBR,None,[],"[49524, 151992]"
I1 Se8 Ta2,97,<i>I</i>422,SM,ES,Line,[],[35190]
I1 Ta1 Te4,2,<i>P</i>-1,trivial,LCEBR,None,[],[67533]
I10 Ir1 Y6,2,<i>P</i>-1,SM,ESFD,Point,[],[74650]
I10 Ni1 Y6,2,<i>P</i>-1,trivial,LCEBR,None,[],[248711]
I10 Os1 Y6,2,<i>P</i>-1,trivial,LCEBR,None,[],[74649]
I10 Pt1 Y6,2,<i>P</i>-1,trivial,LCEBR,None,[],[424468]
I2 La2 Te1,166,<i>R</i>-3<i>m</i>,trivial,LCEBR,None,[],"[240698, 240699]"
I2 Pd1 Te1,2,<i>P</i>-1,trivial,LCEBR,None,[],[409062]
I2 Se8 Tc6,14,<i>P</i>2<sub>1</sub>/<i>c</i>,trivial,LCEBR,None,[],[421197]
I2 Te2 Th1,12,<i>C</i>2/<i>m</i>,trivial,LCEBR,None,[],[94402]
I3 Ir1 Te6,167,<i>R</i>-3<i>c</i>,trivial,LCEBR,None,[],[423670]
I3 La3 Pb1,214,<i>I</i>4<sub>1</sub>32,SM,ESFD,Point,[],[409796]
I3 La3 Ru1,11,<i>P</i>2<sub>1</sub>/<i>m</i>,trivial,LCEBR,None,[],[280447]
I3 La4 Si4,12,<i>C</i>2/<i>m</i>,TI,SEBR,None,"[{'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 2}, {'id': 8, 'name': 'z2w,1', 'htmlName': 'Z<sub>2w,1</sub>', 'nbrValues': 2, 'value': 1}, {'id': 9, 'name': 'z2w,2', 'htmlName': 'Z<sub>2w,2</sub>', 'nbrValues': 2, 'value': 1}]",[407247]
I3 La5 Si5,12,<i>C</i>2/<i>m</i>,TI,SEBR,None,"[{'id': 2, 'name': 'z2w,3', 'htmlName': 'Z<sub>2w,3</sub>', 'nbrValues': 2, 'value': 1}, {'id': 8, 'name': 'z2w,1', 'htmlName': 'Z<sub>2w,1</sub>', 'nbrValues': 2, 'value': 1}, {'id': 9, 'name': 'z2w,2', 'htmlName': 'Z<sub>2w,2</sub>', 'nbrValues': 2, 'value': 1}]",[407248]
I3 Li1 Sc1,188,<i>P</i>-6<i>c</i>2,SM,ESFD,Point,[],[73339]
I3 Mn1 Tl1,62,<i>Pnma</i>,SM,ES,Plane,[],[26420]
I3 Os1 Pr3,11,<i>P</i>2<sub>1</sub>/<i>m</i>,trivial,LCEBR,None,[],[84701]
I3 Pb1 Rb1,62,<i>Pnma</i>,trivial,LCEBR,None,[],"[6067, 161482, 161483]"
I3 Pb1 Tl1,63,<i>Cmcm</i>,trivial,LCEBR,None,[],"[1199, 239288]"
I3 Rb1 Sn1,62,<i>Pnma</i>,trivial,LCEBR,None,[],[400934]
I3 Rh1 Te6,167,<i>R</i>-3<i>c</i>,trivial,LCEBR,None,[],[423671]
I4 In1 Li1,14,<i>P</i>2<sub>1</sub>/<i>c</i>,trivial,LCEBR,None,[],[36599]
I4 In1 Na1,14,<i>P</i>2<sub>1</sub>/<i>c</i>,trivial,LCEBR,None,[],[65463]
I4 La1 Sr1,15,<i>C</i>2/<i>c</i>,SM,ESFD,Point,[],[412275]
I4 Nb4 Se4,216,<i>F</i>-43<i>m</i>,SM,ESFD,Point,[],"[84197, 201533]"
I4 O12 Pu1,86,<i>P</i>4<sub>2</sub>/<i>n</i>,trivial,LCEBR,None,[],[249470]
I4 O12 Zr1,85,<i>P</i>4/<i>n</i>,trivial,LCEBR,None,[],[15405]
I4 Rb2 Zn1,11,<i>P</i>2<sub>1</sub>/<i>m</i>,trivial,LCEBR,None,[],[56425]
I4 Se1 Tl6,128,<i>P</i>4/<i>mnc</i>,trivial,LCEBR,None,[],[40520]
I4 Tl2 Zn1,4,<i>P</i>2<sub>1</sub>,trivial,LCEBR,None,[],[37099]
I5 In1 Pb2,140,<i>I</i>4/<i>mcm</i>,trivial,LCEBR,None,[],"[151991, 151997, 151998, 151999, 152000]"
I5 In1 Sn2,140,<i>I</i>4/<i>mcm</i>,trivial,LCEBR,None,[],"[61201, 151986, 151993, 151994, 151995, 151996]"
I6 Nb2 Se2,15,<i>C</i>2/<i>c</i>,trivial,LCEBR,None,[],[410743]
I6 Nb2 Te2,13,<i>P</i>2/<i>c</i>,trivial,LCEBR,None,[],[35377]
I6 Pb1 Th1,163,<i>P</i>-31<i>c</i>,trivial,LCEBR,None,[],[73139]
I6 Pb1 Tl4,55,<i>Pbam</i>,trivial,LCEBR,None,[],[100069]
I6 Pd1 Rb2,225,<i>Fm</i>-3<i>m</i>,trivial,LCEBR,None,[],[92478]
I6 Pt1 Rb2,225,<i>Fm</i>-3<i>m</i>,trivial,LCEBR,None,[],[37191]
I6 Rb2 Sn1,225,<i>Fm</i>-3<i>m</i>,trivial,LCEBR,None,[],[22104]
I6 Rb2 Te1,128,<i>P</i>4/<i>mnc</i>,trivial,LCEBR,None,[],[36009]
I6 Rb4 Yb1,167,<i>R</i>-3<i>c</i>,trivial,LCEBR,None,[],"[72344, 84664]"
I6 Sn1 Th1,163,<i>P</i>-31<i>c</i>,trivial,LCEBR,None,[],[73138]
I6 Te1 Tl2,14,<i>P</i>2<sub>1</sub>/<i>c</i>,trivial,LCEBR,None,[],[99128]
In1 Ir1 Y4,216,<i>F</i>-43<i>m</i>,trivial,LCEBR,None,[],[418567]
In1 Ir2 U2,127,<i>P</i>4/<i>mbm</i>,SM,ESFD,Point,[],[602811]
In1 K1 Se2,15,<i>C</i>2/<i>c</i>,trivial,LCEBR,None,[],[91469]
In1 K1 Te2,140,<i>I</i>4/<i>mcm</i>,trivial,LCEBR,None,[],"[25347, 73410]"
In1 K5 Pb8,166,<i>R</i>-3<i>m</i>,trivial,LCEBR,None,[],[152384]
In1 La1 O3,62,<i>Pnma</i>,trivial,LCEBR,None,[],"[193481, 281549]"
In1 La3 N1,221,<i>Pm</i>-3<i>m</i>,SM,ESFD,Point,[],[98494]
In1 Li1 O2,141,<i>I</i>4<sub>1</sub>/<i>amd</i>,trivial,LCEBR,None,[],"[40665, 44522, 639886]"
In1 Li1 S2,33,<i>Pna</i>2<sub>1</sub>,trivial,LCEBR,None,[],[53093]
In1 Lu3 N1,221,<i>Pm</i>-3<i>m</i>,SM,ESFD,Point,[],[98508]
In1 Mg1 Y1,189,<i>P</i>-62<i>m</i>,TI,SEBR,None,"[{'id': 10, 'name': 'z3m0', 'htmlName': 'Z<sub>3m0</sub>', 'nbrValues': 3, 'value': 1}]",[160910]
In1 Mn1 O3,185,<i>P</i>6<sub>3</sub><i>cm</i>,SM,ES,Line,[],[252952]
